state,city,site_id,model_name,rmse,adj_r2
Uttar Pradesh,Gorakhpur,site_5472,svr,21.248914468306364,0.843680927753666
Uttar Pradesh,Prayagraj,site_5459,svr,21.40427529108641,0.7983197128854789
Uttar Pradesh,Lucknow,site_5462,svr,26.339177329070964,0.6824858200587691
Uttar Pradesh,Jhansi,site_5583,svr,21.976344400105386,0.33691203437161854
Uttar Pradesh,Greater Noida,site_5121,svr,47.48298168752319,0.7799296864700299
Uttar Pradesh,Vrindavan,site_5483,svr,39.03849981775193,0.7585404395919219
Uttar Pradesh,Agra,site_307,svr,111.47629705561566,0.03476884439224415
Uttar Pradesh,Moradabad,site_5554,svr,41.92164038516639,0.5047265651199591
Uttar Pradesh,Kanpur,site_276,svr,81.08584477644523,0.33060321904636625
Uttar Pradesh,Muzaffarnagar,site_1550,svr,68.42246590126318,0.5346386788374317
Uttar Pradesh,Ghaziabad,site_144,svr,65.54072736705677,0.7405239204534476
Uttar Pradesh,Moradabad,site_5555,svr,49.73133791094047,0.2434974841658616
Uttar Pradesh,Varanasi,site_5475,svr,23.49469924444849,0.7732536261803953
Uttar Pradesh,Greater Noida,site_1541,svr,49.40845494898812,0.7445706368569462
Uttar Pradesh,Lucknow,site_277,svr,77.63985051415787,0.2565916245399953
Uttar Pradesh,Ghaziabad,site_5082,svr,49.175292217217226,0.7940768454457774
Uttar Pradesh,Noida,site_5123,svr,50.04636566662357,0.7886745187123074
Uttar Pradesh,Noida,site_5122,svr,55.14696472495375,0.7331308531535786
Uttar Pradesh,Bulandshahr,site_1542,svr,53.76671182537634,0.6691034686081324
Uttar Pradesh,Meerut,site_5257,svr,48.83580937657982,0.6642136909299667
Uttar Pradesh,Moradabad,site_5537,svr,30.565189118297123,0.7120046628238869
Uttar Pradesh,Agra,site_5464,svr,33.85733108617538,0.7090150975834075
Uttar Pradesh,Hapur,site_5023,svr,53.489794713525065,0.5851596293061745
Uttar Pradesh,Meerut,site_5109,svr,52.23188917418538,0.6659326468400673
Uttar Pradesh,Agra,site_5482,svr,24.75038472543415,0.22596383959800337
Uttar Pradesh,Ghaziabad,site_5083,svr,59.94461243274113,0.778263886494337
West Bengal,Asansol,site_1418,svr,22.644930152133256,0.7498837284391767
Jammu and Kashmir,Srinagar,site_5424,svr,16.738569793156344,0.37907869070235434
Telangana,Hyderabad,site_5596,svr,8.050113571886042,0.4221652027840236
Telangana,Hyderabad,site_5600,svr,17.55411158243195,0.33469159302681606
Telangana,Hyderabad,site_5604,svr,12.171645097909378,0.501092502224008
Telangana,Hyderabad,site_298,svr,13.676145189317296,0.7242566202646922
Telangana,Hyderabad,site_5599,svr,7.761048508622795,0.5485044068388218
Telangana,Hyderabad,site_5597,svr,11.032656141782104,0.4245408582872391
Telangana,Hyderabad,site_262,svr,27.38754537851393,0.4148638342847938
Telangana,Hyderabad,site_5595,svr,26.28210665691473,0.15415645676630707
Telangana,Hyderabad,site_275,svr,11.500192472244242,0.798914494031454
Telangana,Hyderabad,site_199,svr,12.457935840514581,0.7519335706073673
Telangana,Hyderabad,site_5602,svr,15.502903855166888,0.34998160818147916
Telangana,Hyderabad,site_294,svr,60.91132950006259,0.026234880569451224
Telangana,Hyderabad,site_251,svr,9.399840579699582,0.8606596856498533
Telangana,Hyderabad,site_5598,svr,17.76157995070301,0.44394335180077116
Chhattisgarh,Tumidih,site_5692,svr,24.396436975009184,0.44793577269729545
Chhattisgarh,Kunjemura,site_5690,svr,19.18426864705453,0.15304513394412023
Chhattisgarh,Bhilai,site_5659,svr,19.250643346919063,0.4162388100599228
Chhattisgarh,Bhilai,site_5660,svr,11.334948531693545,0.6563860491446547
Chhattisgarh,Bilaspur,site_5503,svr,10.246893050162448,0.10361981038469403
Chhattisgarh,Milupara,site_5691,svr,7.043195894779586,0.43017382218430067
Chhattisgarh,Chhal,site_5689,svr,16.967619467017776,0.3270606194921135
Haryana,Faridabad,site_263,svr,102.48387586231854,0.0594353280358324
Haryana,Bhiwani,site_5047,svr,38.20545963155607,0.47458573912954094
Haryana,Faridabad,site_5342,svr,62.2847542023643,0.5703148684663644
