id,name,latitude,longitude
site_5042,"Shasthri Nagar, Ratlam - IPCA Lab",23.331731,75.045981
site_5043,"Sector-7, Kurukshetra - HSPCB",29.966942,76.875879
site_5046,"Gobind Pura, Yamuna Nagar - HSPCB",30.1480566,77.2893471
site_5048,"Sector-18, Panipat - HSPCB",29.497973,76.993331
site_5051,"F-Block, Sirsa - HSPCB",29.5364,75.0158
site_5052,"Patti Mehar, Ambala - HSPCB",30.379589,76.778328
site_5053,"Shastri Nagar, Narnaul - HSPCB",28.060249,76.113115
site_5054,"Huda Sector, Fatehabad - HSPCB",29.503664,75.467934
site_5055,"General Hospital, Mandikhera - HSPCB",27.9002,76.9938
site_5057,"Urban Estate-II, Hisar - HSPCB",29.14056,75.744941
site_5060,"Nathu Colony, Ballabgarh - HSPCB",28.3419248,77.319699
site_5065,"GIDC, Ankleshwar - GPCB",21.613267,73.010555
site_5066,"Sector-10, Gandhinagar - GPCB",23.221714,72.654328
site_5067,"Phase-4 GIDC, Vatva - GPCB",22.969611,72.6435
site_5068,"Sahilara, Maihar - KJS Cements",24.2613009,80.7231783
site_5071,"Phase-1 GIDC, Vapi - GPCB",20.362421,72.918013
site_5073,"Railway Colony, Guwahati - PCBA",26.181742,91.78063
site_5081,"Sanjay Nagar, Ghaziabad - UPPCB",28.685382,77.453839
site_5082,"Indirapuram, Ghaziabad - UPPCB",28.646233,77.358075
site_5083,"Loni, Ghaziabad - UPPCB",28.757294,77.278792
site_5101,"Belur Math, Howrah - WBPCB",22.629801,88.352017
site_5102,"Vasai West, Mumbai - MPCB",19.3832,72.8204
site_5103,"Nerul, Navi Mumbai - MPCB",19.008751,73.01662
site_5104,"Kurla, Mumbai - MPCB",19.0863,72.8888
site_5105,"Udyogamandal, Eloor - Kerala PCB",10.073232,76.302765
site_5106,"Vile Parle West, Mumbai - MPCB",19.10861,72.83622
site_5107,"Chhatrapati Shivaji Intl. Airport (T2), Mumbai - MPCB",19.10078,72.87462
site_5109,"Jai Bhim Nagar, Meerut - UPPCB",28.9535882,77.7622941
site_5110,"Fort William, Kolkata - WBPCB",22.55664,88.342674
site_5111,"Jadavpur, Kolkata - WBPCB",22.49929,88.36917
site_5112,"Powai, Mumbai - MPCB",19.1375,72.915056
site_5113,"Borivali East, Mumbai - MPCB",19.2243333,72.8658113
site_5114,"Mahape, Navi Mumbai - MPCB",19.1135051,73.008978
site_5118,"Khadakpada, Kalyan - MPCB",19.25292,73.142019
site_5119,"Sion, Mumbai - MPCB",19.047,72.8746
site_5120,"Colaba, Mumbai - MPCB",18.91,72.82
site_5121,"Knowledge Park - V, Greater Noida - UPPCB",28.557054,77.453663
site_5122,"Sector-116, Noida - UPPCB",28.56923,77.393848
site_5125,"Hebbal 1st Stage, Mysuru - KSPCB",12.21041,76.37376
site_5126,"Rabindra Sarobar, Kolkata - WBPCB",22.51106,88.35142
site_5127,"Sector-25, Chandigarh - CPCC",30.751462,76.762879
site_5128,"Gomti Nagar, Lucknow - UPPCB",26.86812,81.005119
site_5129,"Bidhannagar, Kolkata - WBPCB",22.58157048,88.41002457
site_5238,"Ballygunge, Kolkata - WBPCB",22.5367507,88.3638022
site_5247,"T T Nagar, Bhopal - MPPCB",23.233584,77.400574
site_5248,"Chhoti Gwaltoli, Indore - MPPCB",22.431,75.5213
site_5249,"Marhatal, Jabalpur - MPPCB",23.168606,79.932247
site_5250,"Gole Bazar, Katni - MPPCB",23.50016,80.23284
site_5254,"Collector Office, Yadgir - KSPCB",16.7602,77.1428
site_5255,"Vijay Nagar, Ramanagara - KSPCB",12.733409,77.298051
site_5257,"Pallavpuram Phase 2, Meerut - UPPCB",29.06351,77.709723
site_5258,"Ganga Nagar, Meerut - UPPCB",28.999264,77.7590354
site_5262,"Rajbansi Nagar, Patna - BSPCB",25.599486,85.113666
site_5263,"Samanpura, Patna - BSPCB",25.596727,85.085624
site_5264,"Vidayagiri, Bagalkot - KSPCB",16.172806,75.659694
site_5265,"Kalyana Nagara, Chikkamagaluru - KSPCB",13.328028,75.797056
site_5266,"Vinoba Nagara, Shivamogga - KSPCB",13.94,75.555917
site_5267,"Ibrahimpur, Vijayapura - KSPCB",16.802639,75.722694
site_5270,"Vyttila, Kochi - Kerala PCB",9.969447,76.321186
site_5271,"Palayam, Kozhikode - Kerala PCB",11.249077,75.784371
site_5272,"Kacheripady, Ernakulam - Kerala PCB",9.985653,76.281342
site_5273,"City Center, Gwalior - MPPCB",26.203442,78.193251
site_5274,"GIDC, Nandesari - Nandesari Ind. Association",22.410802,73.097923
site_5275,"Phool Bagh, Gwalior - Mondelez Ind. Food",26.210536,78.171
site_5276,"Thavakkara, Kannur - Kerala PCB",11.875,75.3732
site_5334,"Polayathode, Kollam - Kerala PCB",8.8787,76.6073
site_5335,"Govt. High School Shikarpur, Patna - BSPCB",25.592539,85.227158
site_5336,"DRM Office Danapur, Patna - BSPCB",25.586562,85.043586
site_5337,"Industrial Area, Hajipur - BSPCB",25.697189,85.2459
site_5338,"SFTI Kusdihra, Gaya - BSPCB",24.762518,84.982348
site_5339,"Mini Secretariat, Charkhi Dadri - HSPCB",28.593883,76.270653
site_5340,"New Industrial Town, Faridabad - HSPCB",28.39072,77.30059
site_5341,"Sector 30, Faridabad - HSPCB",28.4417,77.3217
site_5342,"Sector 11, Faridabad - HSPCB",28.376058,77.315741
site_5344,"Teri Gram, Gurugram - HSPCB",28.4275,77.1465
site_5346,"Sikulpuikawn, Aizawl - Mizoram PCB",23.7176342,92.7192841
site_5361,"Arumbakkam, Chennai - TNPCB",13.0664,80.2112
site_5362,"Anthoni Pillai Nagar, Gummidipoondi - TNPCB",13.4127,80.1081
site_5363,"Perungudi, Chennai - TNPCB",12.9533,80.2357
site_5364,"Royapuram, Chennai - TNPCB",13.1036,80.2909
site_5365,"Kodungaiyur, Chennai - TNPCB",13.1278,80.2642
site_5367,"Meelavittan, Thoothukudi - TNPCB",8.816428,78.099039
site_5370,"Buddha Colony, Muzaffarpur - BSPCB",26.11442,85.39813
site_5375,"PWD Juction, Kohima - NPCB",25.6635413,94.0989878
site_5377,"Kunjaban, Agartala - Tripura SPCB",23.8628276,91.2887362
site_5391,"Stuart Hill, Madikeri - KSPCB",12.415911,75.73505
site_5392,"Bandra Kurla Complex, Mumbai - IITM",19.053536,72.84643
site_5393,"Chandni Chowk, Delhi - IITM",28.656756,77.227234
site_5394,"Mazgaon, Mumbai - IITM",18.96702,72.84214
site_5397,"Khindipada-Bhandup West, Mumbai - IITM",19.1653323,72.922099
site_5398,"Navy Nagar-Colaba, Mumbai - IITM",18.897756,72.81332
site_5399,"Chakala-Andheri East, Mumbai - IITM",19.11074,72.86084
site_5400,"Borivali East, Mumbai - IITM",19.23241,72.86895
site_5401,"Sector-19A Nerul, Navi Mumbai - IITM",19.044,73.0325
site_5402,"Malad West, Mumbai - IITM",19.19709,72.82204
site_5403,"Siddharth Nagar-Worli, Mumbai - IITM",19.000083,72.813993
site_5404,"Mhada Colony, Pune - IITM",18.57304,73.927715
site_5405,"Alandi, Pune - IITM",18.675076,73.892743
site_5406,"Bhosari, Pune - IITM",18.640051,73.848956
site_5407,"Hadapsar, Pune - IITM",18.501793,73.927532
site_5408,"Transport Nagar-Nigdi, Pune - IITM",18.664282,73.763966
site_5409,"Revenue Colony-Shivajinagar, Pune - IITM",18.530085,73.849598
site_5410,"MIT-Kothrud, Pune - IITM",18.517754,73.8214883
site_5414,"Haji Colony, Raichur - KSPCB",16.208139,77.348417
site_5415,"Diwator Nagar, Koppal - KSPCB",15.34763,76.181767
site_5416,"IITK, Kanpur - IITK",26.511739,80.235136
site_5417,"Pan Bazaar, Guwahati - PCBA",26.1875,91.744194
site_5419,"Panchal Nagar, Gadag - KSPCB",15.411456,75.638133
site_5420,"Ashwini Nagar, Haveri - KSPCB",14.7918,75.3896
site_5421,"Kadri, Mangalore - KSPCB",12.88925,74.853
site_5422,"Devaraj Urs Badavane, Davanagere - KSPCB",14.4758,75.9052
site_5423,"Jawahar Nagar, Puducherry - PPCC",11.9309,79.8027
site_5424,"Rajbagh, Srinagar - JKSPCB",34.066206,74.81982
site_5432,"Ramteerth Nagar, Belgaum - KSPCB",15.888653,74.541751
site_5433,"Brahmagiri, Udupi - KSPCB",13.34194444,74.74694444
site_5446,"Naharlagun, Naharlagun - APSPCB",27.103358,93.679645
site_5449,"Sardar Vallabhbhai Patel Stadium, Ahmedabad - IITM",23.04307,72.562968
site_5450,"Gyaspur, Ahmedabad - IITM",22.977134,72.553024
site_5451,"Rakhial, Ahmedabad - IITM",23.016834,72.625775
site_5452,"Raikhad, Ahmedabad - IITM",23.020509,72.579261
site_5453,"Chandkheda, Ahmedabad - IITM",23.107969,72.574648
site_5454,"SAC ISRO Bopal, Ahmedabad - IITM",23.041137,72.456691
site_5455,"SAC ISRO Satellite, Ahmedabad - IITM",23.023389,72.515201
site_5456,"SVPI Airport Hansol, Ahmedabad - IITM",23.076793,72.627874
site_5457,"IIPHG Lekawada, Gandhinagar - IITM",23.243639,72.68994
site_5458,"GIFT City, Gandhinagar - IITM",23.163798,72.677768
site_5459,"Motilal Nehru NIT, Prayagraj - UPPCB",25.494,81.863
site_5460,"B R Ambedkar University, Lucknow - UPPCB",26.766433,80.927299
site_5461,"Jhunsi, Prayagraj - UPPCB",25.425602,81.917152
site_5462,"Kukrail Picnic Spot-1, Lucknow - UPPCB",26.90723,80.98579
site_5463,"Shastripuram, Agra - UPPCB",27.19862,77.92066
site_5464,"Manoharpur, Agra - UPPCB",27.23711,78.01936
site_5465,"Sector-3B Avas Vikas Colony, Agra - UPPCB",27.19412,77.96237
site_5469,"Bhelupur, Varanasi - UPPCB",25.301778,82.996789
site_5472,"Madan Mohan Malaviya University of Technology, Gorakhpur - UPPCB",26.730136,83.433859
site_5474,"NSI Kalyanpur, Kanpur - UPPCB",26.509954,80.249612
site_5475,"Maldahiya, Varanasi - UPPCB",25.32393,82.99687
site_5476,"Kamalnath Nagar, Bettiah - BSPCB",26.80365,84.51954
site_5477,"Town Hall - Lal Bagh, Darbhanga - BSPCB",26.15146,85.89342
site_5478,"Gandak Colony, Motihari - BSPCB",26.63086,84.90051
site_5479,"MIT-Daudpur Kothi, Muzaffarpur - BSPCB",26.1403345,85.3650192
site_5480,"Nagla Bhau, Firozabad - UPPCB",27.168897,78.37696
site_5481,"D M Colony, Bihar Sharif - BSPCB",25.204762,85.51496
site_5482,"Rohta, Agra - UPPCB",27.106972,78.000111
site_5483,"Omex Eternity, Vrindavan - UPPCB",27.571409,77.655757
site_5484,"Nagar Nigam, Prayagraj - UPPCB",25.44919916,81.82735986
site_5485,"Dada Peer, Sasaram - BSPCB",24.952822,84.002396
site_5489,"Dangi Tola, Rajgir - BSPCB",25.0328,85.41948
site_5490,"Town Hall, Munger - BSPCB",25.376776,86.471523
site_5491,"Sector 22, Chandigarh - CPCC",30.735567,76.775714
site_5500,"FTI Kidwai Nagar, Kanpur - UPPCB",26.428282,80.327067
site_5501,"Shahjahan Garden, Agra - UPPCB",27.169338,78.03582
site_5536,"Civic Center, Bhilai - Bhilai Steel Plant",21.185571,81.343175
site_5537,"Employment Office, Moradabad - UPPCB",28.88528,78.7388
site_5538,"New DM Office, Arrah - BSPCB",25.5626095,84.663264
site_5539,"Kharahiya Basti, Araria - BSPCB",26.146529,87.454184
site_5540,"DRCC Anandpur, Begusarai - BSPCB",25.444266,86.140169
site_5541,"Mayaganj, Bhagalpur - BSPCB",25.265194,87.012947
site_5542,"Central Jail, Buxar - BSPCB",25.555605,83.950942
site_5543,"DM Office_Kachari Chowk, Bhagalpur - BSPCB",25.251013,86.989001
site_5544,"Gurdeo Nagar, Aurangabad - BSPCB",24.75746,84.366208
site_5545,"Darshan Nagar, Chhapra - BSPCB",25.7808257,84.7446768
site_5546,"Mirchaibari, Katihar - BSPCB",25.560083,87.553265
site_5547,"SDM Office_Khagra, Kishanganj - BSPCB",26.0881305,87.93840336
site_5548,"Kareemganj, Gaya - BSPCB",24.792403,84.992416
site_5549,"Mariam Nagar, Purnia - BSPCB",25.366336,87.117468
site_5550,"Forest Rest House, Manguraha - BSPCB",27.308328,84.531742
site_5551,"Police Line, Saharsa - BSPCB",25.892357,86.590325
site_5552,"DM Office_Kasipur, Samastipur - BSPCB",25.859655,85.77944
site_5553,"Chitragupta Nagar, Siwan - BSPCB",26.2271665,84.3570427
site_5554,"Buddhi Vihar, Moradabad - UPPCB",28.83526,78.7446
site_5555,"Jigar Colony, Moradabad - UPPCB",28.856664,78.772638
