,S.No.,State,City,Station Name,Current AQI value
254,255,Maharashtra,Nashik,"Gangapur Road, Nashik - MPCB",65
255,256,Maharashtra,Navi Mumbai,"Airoli, Navi Mumbai - MPCB",Insufficient data available in last 24 hours.
256,257,Maharashtra,Navi Mumbai,"Mahape, Navi Mumbai - MPCB",135
257,258,Maharashtra,Navi Mumbai,"Nerul, Navi Mumbai - MPCB",197
258,259,Maharashtra,Navi Mumbai,"Sector-19A Nerul, Navi Mumbai - IITM",318
259,260,Maharashtra,Pune,"Alandi, Pune - IITM",Insufficient data available in last 24 hours.
260,261,Maharashtra,Pune,"Bhosari, Pune - IITM",Insufficient data available in last 24 hours.
261,262,Maharashtra,Pune,"Hadapsar, Pune - IITM",Insufficient data available in last 24 hours.
262,263,Maharashtra,Pune,"Karve Road, Pune - MPCB",Insufficient data available in last 24 hours.
263,264,Maharashtra,Pune,"MIT-Kothrud, Pune - IITM",Insufficient data available in last 24 hours.
264,265,Maharashtra,Pune,"Mhada Colony, Pune - IITM",Insufficient data available in last 24 hours.
265,266,Maharashtra,Pune,"Revenue Colony-Shivajinagar, Pune - IITM",Insufficient data available in last 24 hours.
266,267,Maharashtra,Pune,"Transport Nagar-Nigdi, Pune - IITM",Insufficient data available in last 24 hours.
267,268,Maharashtra,Solapur,"Solapur, Solapur - MPCB",81
268,269,Maharashtra,Thane,"Pimpleshwar Mandir, Thane - MPCB",197
269,270,Manipur,Imphal,"DM College of Science, Imphal - Manipur PCB",97
270,271,Manipur,Imphal,"Manipur University, Imphal - Manipur PCB",291
271,272,Meghalaya ,Shillong,"JN Stadium, Shillong - Meghalaya PCB",Insufficient data available in last 24 hours.
272,273,Meghalaya ,Shillong,"Lumpyngngad, Shillong - Meghalaya PCB",129
273,274,Mizoram,Aizawl,"Sikulpuikawn, Aizawl - Mizoram PCB",68
274,275,Nagaland,Kohima,"PWD Juction, Kohima - NPCB",80
275,276,Odisha,Baripada,"Meher Colony, Baripada - OSPCB",246
276,277,Odisha,Bileipada,"Tata Township, Bileipada - OSPCB",311
277,278,Odisha,Brajrajnagar,"GM Office, Brajrajnagar - OSPCB",Insufficient data available in last 24 hours.
278,279,Odisha,Keonjhar,"Jagamohanpur, Keonjhar - OSPCB",220
279,280,Odisha,Nayagarh,"Dabuna, Nayagarh - OSPCB",183
280,281,Odisha,Rairangpur,"Divisional Forest Office, Rairangpur - OSPCB",219
281,282,Odisha,Rourkela,"Fertilizer Township, Rourkela - OSPCB",Insufficient data available in last 24 hours.
282,283,Odisha,Rourkela,"Raghunathpali, Rourkela - OSPCB",251
283,284,Odisha,Rourkela,"Sector-2, Rourkela - OSPCB",Insufficient data available in last 24 hours.
284,285,Odisha,Suakati,"OMC Colony, Suakati - OSPCB",197
285,286,Odisha,Talcher,"Talcher Coalfields,Talcher - OSPCB",239
286,287,Odisha,Tensa,"Barsua Iron Ore Mines, Tensa - OSPCB",152
287,288,Puducherry,Puducherry,"Jawahar Nagar, Puducherry - PPCC",49
288,289,Punjab,Amritsar,"Golden Temple, Amritsar - PPCB",204
289,290,Punjab,Bathinda,"Hardev Nagar, Bathinda - PPCB",67
290,291,Punjab,Jalandhar,"Civil Line, Jalandhar - PPCB",196
291,292,Punjab,Khanna,"Kalal Majra, Khanna - PPCB",133
292,293,Punjab,Ludhiana,"Punjab Agricultural University, Ludhiana - PPCB",314
293,294,Punjab,Mandi Gobindgarh,"RIMT University, Mandi Gobindgarh - PPCB",195
294,295,Punjab,Patiala,"Model Town, Patiala - PPCB",94
295,296,Punjab,Rupnagar,"Ratanpura, Rupnagar - Ambuja Cements",172
296,297,Rajasthan,Ajmer,"Civil Lines,  Ajmer - RSPCB",69
297,298,Rajasthan,Alwar,"Moti Doongri, Alwar - RSPCB",85
298,299,Rajasthan,Bharatpur,"Krishna Nagar, Bharatpur - RSPCB",Insufficient data available in last 24 hours.
299,300,Rajasthan,Bhiwadi,"RIICO Ind. Area III, Bhiwadi - RSPCB",132
300,301,Rajasthan,Bikaner,"MM Ground, Bikaner - RSPCB",Insufficient data available in last 24 hours.
301,302,Rajasthan,Churu,"Subash Chowk, Churu - RSPCB",Insufficient data available in last 24 hours.
302,303,Rajasthan,Dholpur,"Raja Ganj, Dholpur - RSPCB",Insufficient data available in last 24 hours.
303,304,Rajasthan,Jaipur,"Adarsh Nagar, Jaipur - RSPCB",87
304,305,Rajasthan,Jaipur,"Police Commissionerate, Jaipur - RSPCB",105
305,306,Rajasthan,Jaipur,"Shastri Nagar, Jaipur - RSPCB",97
306,307,Rajasthan,Jodhpur,"Collectorate, Jodhpur - RSPCB",106
